size	treatment	animal
3849.9	control	elephant
3361.2	control	elephant
4122.1	control	elephant
4638.2	control	elephant
4599.2	control	elephant
4866.6	control	elephant
2908.2	control	elephant
3882.9	control	elephant
4547.5	control	elephant
3456.6	control	elephant
3654.9	control	elephant
3154.8	control	elephant
3076.5	control	elephant
0.040705	control	mouse
0.042122	control	mouse
0.038575	control	mouse
0.041951	control	mouse
0.041962	control	mouse
0.044525	control	mouse
0.03684	control	mouse
0.044694	control	mouse
0.042791	control	mouse
0.042604	control	mouse
0.040618	control	mouse
0.040363	control	mouse
0.041829	control	mouse
4622	hormone	elephant
5075.8	hormone	elephant
3888.3	hormone	elephant
4918.4	hormone	elephant
4140.5	hormone	elephant
4139.1	hormone	elephant
5369.7	hormone	elephant
4873.5	hormone	elephant
4997	hormone	elephant
4314	hormone	elephant
4478.9	hormone	elephant
4292.3	hormone	elephant
4341.7	hormone	elephant
0.049419	hormone	mouse
0.049138	hormone	mouse
0.046796	hormone	mouse
0.047955	hormone	mouse
0.048432	hormone	mouse
0.044924	hormone	mouse
0.044547	hormone	mouse
0.046886	hormone	mouse
0.048758	hormone	mouse
0.050694	hormone	mouse
0.044992	hormone	mouse
0.051808	hormone	mouse
0.047425	hormone	mouse
