"c1" "c2" "c3" "c4" "c5" "c6" "c7" "c8" "c9" "c10"
"1" 162.64 178.01 202.99 221.36 657.94 248.7 185.6 245.28 106.68 127.93
"2" 168.67 106.63 220.95 215.16 570.49 253.51 171.22 244.89 209.27 134.76
"3" 178.23 209.37 243.04 207.67 580.89 193.66 204.32 202.79 113.65 141.46
"4" 183.1 135.15 159.56 132.92 612.23 219.52 193.79 252.88 168.06 160.47
"5" 191.59 184.77 287.54 204.94 505.42 236.42 194.5 211.49 160.4 153.11
"6" 175.92 166.66 274.27 156.19 451.01 197.98 221.14 200.56 159.34 174.73
"7" 161.75 169.57 157.87 182.63 549.61 221.78 216.78 182.42 170.61 178.28
"8" 210.9 173.97 295.27 170.57 560.51 218.11 231.76 185.26 190.68 184.04
"9" 173.56 134.86 293.76 156 461.24 251.31 217.18 187.81 194.99 201.8
"10" 185.6 157.29 239.58 168.38 510.18 227.44 254.98 201.77 156.28 195.6
"11" 215.53 160.26 174.2 98.75 507.94 204.27 232.14 214.19 235.43 161.81
"12" 171.9 186.19 291.02 139.75 418.22 204.89 215.67 183.8 214.91 158.53
"13" 218.13 206.6 371.76 195.66 530.51 245.4 276.03 194.17 219.23 162.81
"14" 188.12 224.25 227.58 134.49 439.32 224.73 225.64 224.01 184.5 200.42
"15" 188.66 212.79 222.72 182.82 532.94 201.62 292.12 157.1 192.08 193.52
"16" 226.76 196.22 302.29 99.24 503.58 206.58 247.33 198.14 211.93 222.22
"17" 211.35 196.8 260.23 111.05 501.79 178.37 264.85 171.04 247.67 166.56
"18" 202.04 179.41 234.16 84.53 515.28 180.09 260.84 215.87 232.52 236
"19" 225.92 221.41 231.14 135.35 368.81 179.55 268.46 158.01 228.34 212.92
"20" 222.28 210.05 228.5 150.41 390.83 158.73 300.83 157.64 287.16 198.98
