Well	Sample	Target	Task	Amp Status	Ct	Ct Mean	Cq Confidence	Ct Standard Deviation	Auto Threshold	Threshold	Auto Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Omit
A1	#1 Cas9	MyoD	Unknown	Amp	27.866096	27.678362	0.95826536	0.28366107	true	0.30211285	true	3	22	0			false
A2	#1 Cas9	MyoD	Unknown	Amp	27.81694	27.678362	0.9522455	0.28366107	true	0.30211285	true	3	22	0			false
A3	#1 Cas9	MyoD	Unknown	Amp	27.35205	27.678362	0.97350645	0.28366107	true	0.30211285	true	3	22	0			false
A4	#1 gRNA	MyoD	Unknown	Amp	28.468332	28.276415	0.9525024	0.2518435	true	0.30211285	true	3	23	0			false
A5	#1 gRNA	MyoD	Unknown	Amp	28.369669	28.276415	0.96116656	0.2518435	true	0.30211285	true	3	22	0			false
A6	#1 gRNA	MyoD	Unknown	Amp	27.991245	28.276415	0.96470636	0.2518435	true	0.30211285	true	3	22	0			false
A7	#2 Cas9	MyoD	Unknown	Amp	24.899912	25.243505	0.9674219	0.30113885	true	0.30211285	true	3	18	0			false
A8	#2 Cas9	MyoD	Unknown	Amp	25.369019	25.243505	0.9433827	0.30113885	true	0.30211285	true	3	20	0			false
A9	#2 Cas9	MyoD	Unknown	Amp	25.461586	25.243505	0.94780636	0.30113885	true	0.30211285	true	3	20	0			false
A10	#2 gRNA	MyoD	Unknown	Amp	26.293743	26.3619	0.93857336	0.09638748	true	0.30211285	true	3	21	0			false
A11	#2 gRNA	MyoD	Unknown	N/A	Undetermined	-		-	true		true	-1	-1				true
A12	#2 gRNA	MyoD	Unknown	Amp	26.430056	26.3619	0.9629822	0.09638748	true	0.30211285	true	3	21	0			false
B1	#3 Cas9	MyoD	Unknown	Amp	25.678621	25.486675	0.95028263	0.2638384	true	0.30211285	true	3	20	0			false
B2	#3 Cas9	MyoD	Unknown	Amp	25.185816	25.486675	0.9500435	0.2638384	true	0.30211285	true	3	20	0			false
B3	#3 Cas9	MyoD	Unknown	Amp	25.595587	25.486675	0.94264853	0.2638384	true	0.30211285	true	3	20	0			false
B4	#3 gRNA	MyoD	Unknown	Amp	26.947834	27.01294	0.9511983	0.091302544	true	0.30211285	true	3	21	0			false
B5	#3 gRNA	MyoD	Unknown	Amp	27.117306	27.01294	0.9552152	0.091302544	true	0.30211285	true	3	22	0			false
B6	#3 gRNA	MyoD	Unknown	Amp	26.97368	27.01294	0.97188056	0.091302544	true	0.30211285	true	3	21	0			false
B7	-	MyoD	NTC	N/A	Undetermined	-		-	true		true	-1	-1				true
B8	-	MyoD	NTC	No Amp	Undetermined	-	0	-	true	0.30211285	true	3	39	0			false
B9	-	MyoD	NTC	No Amp	Undetermined	-	0	-	true	0.30211285	true	3	39	0			false
B10	#1 Cas9	Seb4	Unknown	Amp	27.052197	27.11278	0.94979376	0.06501084	true	0.41003644	true	3	21	0			false
B11	#1 Cas9	Seb4	Unknown	Amp	27.104681	27.11278	0.95540565	0.06501084	true	0.41003644	true	3	21	0			false
B12	#1 Cas9	Seb4	Unknown	Amp	27.18146	27.11278	0.95680344	0.06501084	true	0.41003644	true	3	21	0			false
C1	#1 gRNA	Seb4	Unknown	Amp	27.248964	27.168541	0.9487958	0.1137358	true	0.41003644	true	3	21	0			false
C2	#1 gRNA	Seb4	Unknown	Amp	27.088118	27.168541	0.965051	0.1137358	true	0.41003644	true	3	20	0			false
C3	#1 gRNA	Seb4	Unknown	N/A	Undetermined	-		-	true		true	-1	-1				true
C4	#2 Cas9	Seb4	Unknown	Amp	24.07927	24.158112	0.95365924	0.06883026	true	0.41003644	true	3	18	0			false
C5	#2 Cas9	Seb4	Unknown	Amp	24.20622	24.158112	0.96228826	0.06883026	true	0.41003644	true	3	18	0			false
C6	#2 Cas9	Seb4	Unknown	Amp	24.188847	24.158112	0.96631956	0.06883026	true	0.41003644	true	3	18	0			false
C7	#2 gRNA	Seb4	Unknown	Amp	24.946524	24.796818	0.96045476	0.15844543	true	0.41003644	true	3	19	0			false
C8	#2 gRNA	Seb4	Unknown	Amp	24.81305	24.796818	0.9546568	0.15844543	true	0.41003644	true	3	19	0			false
C9	#2 gRNA	Seb4	Unknown	Amp	24.630882	24.796818	0.9522933	0.15844543	true	0.41003644	true	3	19	0			false
C10	#3 Cas9	Seb4	Unknown	Amp	23.659063	23.681984	0.96055496	0.05586682	true	0.41003644	true	3	18	0			false
C11	#3 Cas9	Seb4	Unknown	Amp	23.641224	23.681984	0.94596946	0.05586682	true	0.41003644	true	3	18	0			false
C12	#3 Cas9	Seb4	Unknown	Amp	23.745667	23.681984	0.9579767	0.05586682	true	0.41003644	true	3	18	0			false
D1	#3 gRNA	Seb4	Unknown	Amp	24.995274	24.864637	0.9727095	0.113327384	true	0.41003644	true	3	19	0			false
D2	#3 gRNA	Seb4	Unknown	Amp	24.805943	24.864637	0.9772423	0.113327384	true	0.41003644	true	3	19	0			false
D3	#3 gRNA	Seb4	Unknown	Amp	24.792698	24.864637	0.9634174	0.113327384	true	0.41003644	true	3	19	0			false
D4	-	Seb4	NTC	No Amp	Undetermined	-	0	-	true	0.41003644	true	3	39	0			false
D5	-	Seb4	NTC	No Amp	Undetermined	-	0	-	true	0.41003644	true	3	39	0			false
D6	-	Seb4	NTC	No Amp	Undetermined	-	0	-	true	0.41003644	true	3	39	0			false
D7	#1 Cas9	Dicer	Unknown	Amp	27.414476	27.431236	0.936676	0.13958591	true	0.39914292	true	3	22	0			false
D8	#1 Cas9	Dicer	Unknown	Amp	27.578445	27.431236	0.9528826	0.13958591	true	0.39914292	true	3	21	0			false
D9	#1 Cas9	Dicer	Unknown	Amp	27.300787	27.431236	0.95034254	0.13958591	true	0.39914292	true	3	21	0			false
D10	#1 gRNA	Dicer	Unknown	Amp	26.81939	26.926704	0.9582289	0.094125725	true	0.39914292	true	3	21	0			false
D11	#1 gRNA	Dicer	Unknown	Amp	26.965458	26.926704	0.96215266	0.094125725	true	0.39914292	true	3	21	0			false
D12	#1 gRNA	Dicer	Unknown	Amp	26.995268	26.926704	0.96535796	0.094125725	true	0.39914292	true	3	21	0			false
E1	#2 Cas9	Dicer	Unknown	Amp	25.453825	25.492142	0.9646636	0.044744264	true	0.39914292	true	3	20	0			false
E2	#2 Cas9	Dicer	Unknown	Amp	25.481283	25.492142	0.9613568	0.044744264	true	0.39914292	true	3	19	0			false
E3	#2 Cas9	Dicer	Unknown	Amp	25.541315	25.492142	0.9505085	0.044744264	true	0.39914292	true	3	19	0			false
E4	#2 gRNA	Dicer	Unknown	Amp	25.89898	25.871338	0.9582886	0.053004857	true	0.39914292	true	3	20	0			false
E5	#2 gRNA	Dicer	Unknown	Amp	25.90481	25.871338	0.95020765	0.053004857	true	0.39914292	true	3	20	0			false
E6	#2 gRNA	Dicer	Unknown	Amp	25.810226	25.871338	0.95696867	0.053004857	true	0.39914292	true	3	20	0			false
E7	#3 Cas9	Dicer	Unknown	Amp	25.23683	25.211319	0.94275486	0.08936107	true	0.39914292	true	3	19	0			false
E8	#3 Cas9	Dicer	Unknown	Amp	25.28515	25.211319	0.95422536	0.08936107	true	0.39914292	true	3	19	0			false
E9	#3 Cas9	Dicer	Unknown	Amp	25.111977	25.211319	0.94519496	0.08936107	true	0.39914292	true	3	19	0			false
E10	#3 gRNA	Dicer	Unknown	Amp	26.187891	26.11248	0.9584482	0.07233152	true	0.39914292	true	3	20	0			false
E11	#3 gRNA	Dicer	Unknown	Amp	26.105867	26.11248	0.96733946	0.07233152	true	0.39914292	true	3	20	0			false
E12	#3 gRNA	Dicer	Unknown	Amp	26.043682	26.11248	0.9669703	0.07233152	true	0.39914292	true	3	20	0			false
F1	-	Dicer	NTC	No Amp	Undetermined	-	0	-	true	0.39914292	true	3	39	0			false
F2	-	Dicer	NTC	No Amp	Undetermined	-	0	-	true	0.39914292	true	3	39	0			false
F3	-	Dicer	NTC	No Amp	Undetermined	-	0	-	true	0.39914292	true	3	39	0			false
