species	mass	drymass	watermass
Sarconeema	44	5.5	38.5
Sarconeema	55	6.3	48.7
Sarconeema	43	4.3	38.7
Sarconeema	43	4.8	38.2
Sarconeema	40	4	36
Sarconeema	54	6	48
Sarconeema	47	4.7	42.3
Sarconeema	35	3.8	31.2
Sarconeema	39	5.1	33.9
Sarconeema	38	5	33
Sarconeema	44	3.5	40.5
Sarconeema	36	4.1	31.9
Gelidium 	48	9.9	38.1
Gelidium 	54	10.3	43.7
Gelidium 	48	8.4	39.6
Gelidium 	55	8.3	46.7
Gelidium 	46	11	35
Gelidium 	53	11.3	41.7
Gelidium 	52	10	42
Gelidium 	44	9.2	34.8
Gelidium 	49	11.9	37.1
Gelidium 	53	9.9	43.1
Gelidium 	46	10.8	35.2
Gelidium 	46	11.1	34.9
