phylodiv	depth	site	method
250	3	org01	organic
250	2	org01	organic
290	1	org01	organic
310	0	org01	organic
215	3	org02	organic
225	2	org02	organic
230	1	org02	organic
265	0	org02	organic
230	3	org03	organic
225	2	org03	organic
240	1	org03	organic
275	0	org03	organic
235	3	org04	organic
275	2	org04	organic
265	1	org04	organic
270	0	org04	organic
200	3	org05	organic
235	2	org05	organic
235	1	org05	organic
260	0	org05	organic
245	3	org06	organic
255	2	org06	organic
270	1	org06	organic
285	0	org06	organic
220	3	org07	organic
220	2	org07	organic
245	1	org07	organic
265	0	org07	organic
240	3	org08	organic
215	2	org08	organic
245	1	org08	organic
255	0	org08	organic
230	3	org09	organic
205	2	org09	organic
310	1	org09	organic
260	0	org09	organic
275	3	org10	organic
280	2	org10	organic
310	1	org10	organic
315	0	org10	organic
230	3	org11	organic
230	2	org11	organic
235	1	org11	organic
250	0	org11	organic
215	3	org12	organic
235	2	org12	organic
240	1	org12	organic
280	0	org12	organic
210	3	conv01	conventional
200	2	conv01	conventional
215	1	conv01	conventional
230	0	conv01	conventional
210	3	conv02	conventional
215	2	conv02	conventional
240	1	conv02	conventional
255	0	conv02	conventional
205	3	conv03	conventional
240	2	conv03	conventional
245	1	conv03	conventional
260	0	conv03	conventional
235	3	conv04	conventional
245	2	conv04	conventional
250	1	conv04	conventional
265	0	conv04	conventional
215	3	conv05	conventional
230	2	conv05	conventional
225	1	conv05	conventional
220	0	conv05	conventional
200	3	conv06	conventional
210	2	conv06	conventional
210	1	conv06	conventional
215	0	conv06	conventional
215	3	conv07	conventional
225	2	conv07	conventional
230	1	conv07	conventional
250	0	conv07	conventional
230	3	conv08	conventional
230	2	conv08	conventional
235	1	conv08	conventional
240	0	conv08	conventional
200	3	conv09	conventional
210	2	conv09	conventional
220	1	conv09	conventional
205	0	conv09	conventional
165	3	conv10	conventional
190	2	conv10	conventional
190	1	conv10	conventional
185	0	conv10	conventional
