enzymeA	enzymeB	enzymeC	celltype
0.0628	226	31.52	alpha
0.057	93	31.17	alpha
0.0671	225.5	32.29	alpha
0.061	219.7	31.22	alpha
0.0814	237.5	33.28	alpha
0.0571	208.9	31.17	alpha
0.0537	236.8	27.48	alpha
0.0547	177.1	32.61	alpha
0.0599	281.6	30.95	alpha
0.0669	243.1	35	alpha
0.0558	218.1	29.54	alpha
0.0374	215.2	34.49	alpha
0.0547	203.6	32.42	alpha
0.047	175.2	30.04	alpha
0.0585	151.4	30.97	alpha
0.0524	188.3	26.35	alpha
0.0688	125.9	29.5	alpha
0.0602	169.9	31.65	alpha
0.0557	190.6	31.76	alpha
0.0471	225.9	29.5	alpha
0.0546	95.1	28.03	alpha
0.0404	107.7	30.94	alpha
0.0585	234	32.48	alpha
0.0359	199.7	28.18	alpha
0.0469	199.4	29.15	alpha
0.0593	235.5	34.19	beta
0.0406	156.3	34.16	beta
0.0555	187.2	33.35	beta
0.0583	231.7	33.88	beta
0.0443	260.9	35.91	beta
0.0442	211.7	36.99	beta
0.042	148	34.7	beta
0.0632	178.9	34.97	beta
0.0565	108.1	34.39	beta
0.0569	243.4	35.12	beta
0.0532	191.8	38.63	beta
0.0544	103.8	33.21	beta
0.0625	244.8	39.94	beta
0.0541	292.8	31.91	beta
0.0322	267.2	36.08	beta
0.0579	262.2	33.31	beta
0.0539	277.6	35.01	beta
0.0644	210.3	35.06	beta
0.0488	240.5	35.62	beta
0.037	151.1	33.37	beta
0.0337	172.6	34.4	beta
0.0539	171.4	35.06	beta
0.0421	103	36.24	beta
0.0437	174.8	33.34	beta
0.0471	206.2	35.7	beta
