geneID	meanExprA	meanExprB
205890_s_at	38.16176539	9.348510634
202510_s_at	40.03187362	8.877104074
204470_at	39.55935704	10.2738691
202638_s_at	40.84823341	8.180500416
212614_at	3.781330443	9.313140133
209723_at	25.54469748	8.368869414
207850_at	34.78504913	9.123588294
211429_s_at	20.08656145	9.84701304
202859_x_at	41.34445229	11.82161252
209295_at	20.63509237	10.42095565
201642_at	23.44655258	11.18233673
207196_s_at	27.61755495	10.72958093
209774_x_at	33.55563454	9.668497197
209199_s_at	4.551632254	8.451090185
202833_s_at	23.08320646	8.97885741
216841_s_at	21.37875008	6.747358871
218807_at	5.377132888	10.90062461
205476_at	277.2466576	9.262544646
202637_s_at	30.42552327	9.06679
208296_x_at	19.22324626	9.346460688
203828_s_at	51.6558911	6.159636499
209200_at	1.034700329	6.563616584
204597_x_at	18.87554272	7.599963509
202643_s_at	17.6102787	7.86580068
213350_at	3.933097399	11.28932004
209939_x_at	18.68483904	11.12604626
206084_at	4.103595486	8.773884047
204420_at	16.56361346	8.664376204
217739_s_at	19.54985919	10.96158219
41469_at	16.08257911	7.565290282
201860_s_at	38.73054618	10.09411937
202644_s_at	17.73022479	8.379836677
214692_s_at	0.878933755	6.690272599
210754_s_at	15.43839894	8.900667679
215223_s_at	18.83085886	7.868446371
210563_x_at	17.33071517	10.42287644
219229_at	19.76831731	8.53618566
210675_s_at	4.359762413	9.315129661
211506_s_at	49.49340926	8.661581109
202227_s_at	6.379506029	9.994043099
214996_at	0.803394372	5.45811857
219487_at	4.925102378	8.213470726
206336_at	43.27300421	8.93587786
204141_at	19.72000251	10.78050764
215444_s_at	21.61004723	7.570842269
204259_at	17.13121373	10.439508
207339_s_at	17.42863019	6.432475322
212552_at	18.47230711	10.15451828
209037_s_at	15.65085266	7.057359964
202071_at	23.87178077	12.03582797
211725_s_at	15.74239513	10.02184733
204224_s_at	14.20457271	8.842736403
207375_s_at	14.70377499	9.074151728
33304_at	15.55244791	10.22591747
209301_at	6.368978206	9.962364785
203595_s_at	18.16494861	8.214153908
36711_at	19.70795225	11.09288609
217997_at	15.12598043	9.327352734
38766_at	16.31833845	8.838866402
204354_at	6.063465514	9.027836329
205633_s_at	15.00162015	10.37277878
202107_s_at	7.639916733	10.87127657
206285_at	0.95413062	4.14679773
218350_s_at	7.414698909	12.07042184
212096_s_at	6.078956873	9.561464458
206157_at	56.8940818	6.207338746
217893_s_at	14.08487969	8.185574343
213267_at	0.235926932	3.540682822
206034_at	15.19879667	9.172560695
202531_at	14.78691185	8.275533799
205205_at	17.78154597	7.877641535
203726_s_at	20.82809849	10.91771154
212455_at	7.261578602	10.97045952
218181_s_at	17.09964042	9.109299361
201648_at	16.91064154	11.23265527
204748_at	18.27525402	7.787412741
204493_at	16.59180284	8.961017094
219918_s_at	5.898752303	9.335895576
206364_at	4.639800977	8.513897448
217251_x_at	1.826589458	4.239867638
205780_at	15.98254783	9.297657178
209239_at	15.04694242	9.358457734
202672_s_at	12.99662559	8.860950366
205207_at	19.12673632	7.217694991
213796_at	37.62584168	4.598705251
208347_at	1.08712588	5.755699826
201502_s_at	24.10427468	9.989089877
220770_s_at	4.555782424	7.8166569
217555_at	1.275334339	4.425328223
217995_at	16.24815592	11.15600856
214823_at	3.834693689	6.417562443
206414_s_at	14.77322045	10.86161391
209102_s_at	6.760729509	9.702559868
202648_at	5.166550952	8.575887976
201329_s_at	14.15077582	9.087716683
210538_s_at	21.55574341	8.078049152
201631_s_at	18.08816652	12.10017462
211818_s_at	2.584290333	6.141824391
214585_s_at	7.179658058	10.46043188
218330_s_at	14.40431611	8.326383382
201384_s_at	7.31517143	10.44652821
201924_at	6.378042822	9.942031422
201664_at	8.511507833	11.53354521
217992_s_at	14.33960679	9.470436622
217388_s_at	21.91611263	8.74621858
219413_at	4.416632399	7.515081009
202376_at	23.5675312	12.92707248
213680_at	23.51786404	8.734320861
203691_at	37.7534187	6.409022823
218990_s_at	16.38040271	8.682719813
221245_s_at	6.815582366	9.80513505
221943_x_at	6.586409555	12.39040955
211787_s_at	17.38055591	12.62485858
208170_s_at	19.77949853	7.730536177
201471_s_at	17.80962053	12.14018681
210260_s_at	17.2722901	9.540722332
210118_s_at	40.10665185	6.043144253
202625_at	17.47346691	8.602428878
210645_s_at	7.091407876	10.65742179
823_at	23.0257321	7.476070087
218618_s_at	18.21730755	10.79452822
218824_at	2.644464969	6.079883947
205466_s_at	23.63582251	11.25901411
204908_s_at	23.20784063	7.468451752
203911_at	13.55875633	9.288725868
212974_at	13.16118613	7.840826047
222221_x_at	15.42758825	8.869894898
206025_s_at	16.20598893	10.02789979
209039_x_at	15.24194119	9.742129837
202727_s_at	17.94630272	9.533639779
205618_at	12.95787726	9.163240346
218368_s_at	26.79647106	12.39054293
205027_s_at	10.98110892	5.431754468
209002_s_at	5.072628923	8.196187693
221043_at	3.662846481	7.166865516
216264_s_at	5.229494442	8.056342825
221167_s_at	1.524324999	5.600645061
211792_s_at	2.775727063	6.776678767
204715_at	12.30595088	8.538845539
206994_at	1.551095545	6.224353462
212943_at	6.277998628	9.643146049
219115_s_at	3.741318695	6.475835796
220794_at	0.984727863	4.512564395
221841_s_at	14.89055648	8.663388859
220318_at	1.990851505	6.570646543
206698_at	7.484544966	9.633302181
202250_s_at	4.672948857	7.873135054
206376_at	1.403692781	2.629610866
209691_s_at	4.846474582	7.885153361
219427_at	3.7608019	7.112369598
